Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Cap Rate,Vacância Média
TRXB11,Híbrido,131.99,7.17,15.4,1.25,450594000,3335950,13,12.44,0.0
TRXF11,Híbrido,100.75,10.99,12.53,0.99,2018580000,6796060,40,8.08,0.0
KNHF11,Híbrido,89.52,12.09,12.1,0.91,1760250000,3012960,3,5.9,1.66
MXRF11,Híbrido,9.38,10.09,12.02,1.0,4102110000,11322700,2,0.0,0.0
GGRC11,Logística,10.04,10.15,11.49,0.89,1232580000,3694400,26,9.03,0.0
XPML11,Shoppings,104.18,9.67,10.5,0.89,5909170000,11521600,15,8.47,4.57
CPUR11,Híbrido,10.35,7.08,9.9,1.05,645541000,11714100,11,5.78,0.51
HGBS11,Shoppings,19.41,79.47,9.88,0.9,250647000,2457160,16,93.5,4.96
XPLG11,Logística,98.54,8.14,9.62,0.92,3072080000,3108050,17,8.89,1.34
BRCO11,Logística,108.01,7.62,9.58,0.91,1717910000,3423580,12,9.04,4.41
HGRU11,Híbrido,124.18,8.57,9.56,0.99,2885700000,3756930,104,7.28,0.82
BTLG11,Híbrido,100.92,8.62,9.23,0.97,4364700000,6794500,27,6.39,3.39
ALZR11,Híbrido,10.11,8.28,9.13,0.97,1236110000,1975520,18,8.11,0.0
HGLG11,Logística,157.49,7.4,8.32,0.97,5321210000,6235790,27,8.0,4.6
KNRI11,Híbrido,144.07,8.0,8.27,0.89,4063360000,6366230,20,7.61,0.11
CPOF11,Híbrido,108.51,3.65,8.13,0.98,481684000,3369970,7,7.09,99.97
CPLG11,Logística,11.7,0.3,6.52,1.2,416258000,3506020,1,0.54,0.0
MCLO11,Híbrido,10.23,2.15,4.34,1.02,1275100000,1609220,4,1.7,0.0
