Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Cap Rate,Vacância Média
AAZQ11,Títulos e Val. Mob.,7.18,14.96,16.32,0.83,172588000,499782,0,0.0,0.0
ABCP11,Shoppings,85.0,8.2,8.27,0.79,400272000,79533,1,10.18,2.9
AEFI11,Outros,174.9,8.55,0.0,1.75,411893000,0,0,0.0,0.0
AFCR11,Híbrido,103.15,12.61,0.0,1.07,498867000,0,0,0.0,0.0
AFHI11,Títulos e Val. Mob.,92.0,11.68,12.36,0.97,419117000,816158,0,0.0,0.0
AFOF11,Títulos e Val. Mob.,91.6,0.82,0.0,12.28,1390540000,0,0,0.0,0.0
AGCX11,Outros,1235.5,0.53,0.0,11.57,19291500000,0,82,0.73,3.86
AGRX11,Híbrido,7.87,21.49,15.28,0.77,140898000,267271,0,0.0,0.0
AIEC11,Lajes Corporativas,45.48,17.9,14.79,0.59,219440000,297413,2,26.9,0.0
AJFI11,Títulos e Val. Mob.,7.28,11.39,11.11,0.6,230237000,575061,12,12.28,3.3
ALMI11,Lajes Corporativas,550.5,6.79,7.38,0.26,61202900,31689,1,16.46,52.0
ALZC11,Títulos e Val. Mob.,8.52,5.15,15.9,0.88,170828000,160446,0,0.0,0.0
ALZM11,Títulos e Val. Mob.,6.4,11.76,10.55,0.86,97155500,0,0,0.0,0.0
ALZR11,Híbrido,10.11,8.28,9.13,0.97,1236110000,1975520,18,8.11,0.0
ALZT11,Títulos e Val. Mob.,33.0,15.52,5.48,0.79,16500000,0,0,0.0,0.0
ANCR11,Shoppings,180.0,5.46,3.86,1.64,4812310000,564,7,7.27,4.34
APTO11,Híbrido,8.51,12.41,13.65,0.87,39250100,31819,3,6.79,0.0
APXM11,Híbrido,92.26,4.27,5.46,0.75,261017000,499746,1,10.83,7.87
ARCT11,Híbrido,87.13,-60.77,0.0,0.86,368999000,0,12,9.01,0.0
AROA11,Outros,0.99,,7.49,1.04,159952,6852,6,,0.0
ARRI11,Títulos e Val. Mob.,7.14,9.98,15.43,0.84,147991000,184491,0,0.0,0.0
