TIPO DE FUNDO,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
Fundo de desenvolvimento,"R$ 105,75","R$ 361,02 Milhões","R$ 1,00",TRXB11
Fundo de desenvolvimento,"R$ 112,82","R$ 2,66 Bilhões","R$ 1,00",TGAR11
Fundo de papel,"R$ 9,64","R$ 1,08 Bilhão","R$ 0,11",MCRE11
Fundo de papel,"R$ 89,24","R$ 2,36 Bilhões","R$ 1,05",RECR11
Fundo de papel,"R$ 8,54","R$ 1,41 Bilhão","R$ 0,09",VGHF11
Fundo de papel,"R$ 82,71","R$ 3,01 Bilhões","R$ 0,82",IRDM11
Fundo de papel,"R$ 9,75","R$ 1,42 Bilhão","R$ 0,12",VGIR11
Outro,"R$ 102,74","R$ 2,22 Bilhões","R$ 1,18",KNCA11
Fundo de papel,"R$ 99,42","R$ 2,80 Bilhões","R$ 1,35",KNHY11
Outro,"R$ 96,25","R$ 1,81 Bilhão","R$ 1,05",RZTR11
Fundo de papel,"R$ 96,23","R$ 1,23 Bilhão","R$ 1,10",RBRY11
Fundo de papel,"R$ 96,80","R$ 1,49 Bilhão","R$ 1,05",HGCR11
Fundo de papel,"R$ 8,79","R$ 2,79 Bilhões","R$ 0,09",CPTS11
Fundo de papel,"R$ 101,28","R$ 1,55 Bilhão","R$ 1,35",KNUQ11
Fundo de Tijolo,"R$ 101,72","R$ 2,04 Bilhões","R$ 0,93",TRXF11
Fundo de papel,"R$ 8,80","R$ 1,78 Bilhão","R$ 0,10",KNSC11
Fundo de Tijolo,"R$ 11,87","R$ 945,91 Milhões","R$ 0,10",CPSH11
Outro,"R$ 10,24","R$ 1,64 Bilhão","R$ 0,10",RURA11
Fundo de papel,"R$ 92,20","R$ 1,39 Bilhão","R$ 0,90",RBRR11
Fundo de papel,"R$ 92,34","R$ 7,39 Bilhões","R$ 1,04",KNIP11
Fundo misto,"R$ 98,55","R$ 1,94 Bilhão","R$ 1,00",KNHF11
Fundo de papel,"R$ 9,40","R$ 4,11 Bilhões","R$ 0,10",MXRF11
Fundo de papel,"R$ 101,74","R$ 7,78 Bilhões","R$ 1,20",KNCR11
Fundo de Tijolo,"R$ 9,05","R$ 1,34 Bilhão","R$ 0,08",GARE11
Fundo de papel,"R$ 94,02","R$ 1,59 Bilhão","R$ 0,90",MCCI11
Fundo de Tijolo,"R$ 11,23","R$ 1,38 Bilhão","R$ 0,10",GGRC11
Fundo de Tijolo,"R$ 117,39","R$ 6,66 Bilhões","R$ 0,92",XPML11
Fundo de Tijolo,"R$ 108,83","R$ 2,26 Bilhões","R$ 0,65",HSML11
Outro,"R$ 9,85","R$ 411,11 Milhões","R$ 0,10",CPUR11
Fundo de Tijolo,"R$ 21,52","R$ 2,78 Bilhões","R$ 0,16",HGBS11
Fundo de Tijolo,"R$ 124,78","R$ 2,01 Bilhões","R$ 0,75",LVBI11
Fundo de Tijolo,"R$ 106,75","R$ 3,33 Bilhões","R$ 0,82",XPLG11
Fundo de Tijolo,"R$ 121,51","R$ 1,70 Bilhão","R$ 0,85",MALL11
Fundo de Tijolo,"R$ 118,28","R$ 1,88 Bilhão","R$ 0,87",BRCO11
Fundo misto,"R$ 125,56","R$ 2,92 Bilhões","R$ 0,90",HGRU11
Fundo de Tijolo,"R$ 124,34","R$ 3,58 Bilhões","R$ 0,80",VISC11
Fundo de Tijolo,"R$ 104,00","R$ 4,50 Bilhões","R$ 0,78",BTLG11
Fundo de Tijolo,"R$ 162,74","R$ 5,50 Bilhões","R$ 1,10",HGLG11
Fundo de Tijolo,"R$ 161,71","R$ 4,56 Bilhões","R$ 1,00",KNRI11
Fundo misto,"R$ 110,60","R$ 490,96 Milhões","R$ 0,65",CPOF11
Fundo de papel,"R$ 9,89","R$ 2,04 Bilhões","R$ 0,09",BTHF11
Fundo misto,"R$ 9,72","R$ 345,82 Milhões","R$ 0,03",CPLG11
