Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
AAZQ11,Títulos e Val. Mob.,718,"14,96%","16,32%",83,172.588.000,499.782,0,000,000,"0,00%","0,00%"
ABCP11,Shoppings,8500,"8,20%","8,27%",79,400.272.000,79.533,1,"5.580,45",56785,"10,18%","2,90%"
AEFI11,Outros,17490,"8,55%","0,00%",175,411.893.000,0,0,000,000,"0,00%","0,00%"
AFCR11,Híbrido,10315,"12,61%","0,00%",107,498.867.000,0,0,000,000,"0,00%","0,00%"
AFHI11,Títulos e Val. Mob.,9200,"11,68%","12,36%",97,419.117.000,816.158,0,000,000,"0,00%","0,00%"
AFOF11,Títulos e Val. Mob.,9160,"0,82%","0,00%",1228,1.390.540.000,0,0,000,000,"0,00%","0,00%"
AGCX11,Outros,"1.235,50","0,53%","0,00%",1157,19.291.500.000,0,82,"63.941,30",46890,"0,73%","3,86%"
AGRX11,Híbrido,787,"21,49%","15,28%",77,140.898.000,267.271,0,000,000,"0,00%","0,00%"
AIEC11,Lajes Corporativas,4548,"17,90%","14,79%",59,219.440.000,297.413,2,"8.830,16","2.375,61","26,90%","0,00%"
AJFI11,Títulos e Val. Mob.,728,"11,39%","11,11%",60,230.237.000,575.061,12,52013,6388,"12,28%","3,30%"
ALMI11,Lajes Corporativas,55050,"6,79%","7,38%",26,61.202.900,31.689,1,"1.334,12",21954,"16,46%","52,00%"
ALZC11,Títulos e Val. Mob.,852,"5,15%","15,90%",88,170.828.000,160.446,0,000,000,"0,00%","0,00%"
ALZM11,Títulos e Val. Mob.,640,"11,76%","10,55%",86,97.155.500,0,0,000,000,"0,00%","0,00%"
ALZR11,Híbrido,1011,"8,28%","9,13%",97,1.236.110.000,1.975.520,18,"4.579,87",37125,"8,11%","0,00%"
ALZT11,Títulos e Val. Mob.,3300,"15,52%","5,48%",79,16.500.000,0,0,000,000,"0,00%","0,00%"
ANCR11,Shoppings,18000,"5,46%","3,86%",164,4.812.310.000,564,7,"14.541,60","1.056,88","7,27%","4,34%"
APTO11,Híbrido,851,"12,41%","13,65%",87,39.250.100,31.819,3,"16.387,50","1.113,12","6,79%","0,00%"
APXM11,Híbrido,9226,"4,27%","5,46%",75,261.017.000,499.746,1,"1.447,58",15683,"10,83%","7,87%"
ARCT11,Híbrido,8713,"-60,77%","0,00%",86,368.999.000,0,12,"1.100,84",9919,"9,01%","0,00%"
AROA11,Outros,099,"7.734,77%","7,49%",104,159.952,6.852,6,122,10521,"8.637,86%","0,00%"
ARRI11,Títulos e Val. Mob.,714,"9,98%","15,43%",84,147.991.000,184.491,0,000,000,"0,00%","0,00%"
ARXD11,Títulos e Val. Mob.,735,"13,89%","16,09%",79,66.232.100,156.019,0,000,000,"0,00%","0,00%"
ASMT11,Híbrido,419,"96,96%","0,00%",4,4.530.470,24.550,3,34852,76671,"219,99%","0,00%"
ASRF11,Híbrido,"10.888,00","-4,55%","0,00%",112,43.552.000,0,2,"5.059,39",000,"0,00%","0,00%"
ATSA11,Shoppings,5000,"5,08%","4,40%",66,87.557.000,661,1,"2.575,30",14942,"5,80%","16,77%"
AURB11,Logística,6700,"1,50%","0,00%",92,60.200.400,105,2,"1.872,79",13319,"7,11%","0,00%"
AZPL11,Logística,723,"8,64%","10,64%",74,131.656.000,572.010,1,56801,2912,"5,13%","0,00%"
BARI11,Títulos e Val. Mob.,7711,"13,30%","13,29%",84,357.342.000,583.742,3,"3.353,64",000,"0,00%","0,00%"
BBFI11,Lajes Corporativas,39300,"83,74%","0,00%",56,51.090.000,49.275,1,96384,"1.202,30","124,74%","100,00%"
BBFO11,Títulos e Val. Mob.,6235,"19,05%","12,74%",83,249.643.000,262.592,0,000,000,"0,00%","0,00%"
BBGO11,Títulos e Val. Mob.,6604,"9,47%","13,94%",71,264.501.000,256.575,0,000,000,"0,00%","0,00%"
BBIG11,Shoppings,705,"13,02%","14,05%",75,698.803.000,973.977,1,"11.759,60",32809,"2,79%","1,92%"
BBPO11,Lajes Corporativas,9675,"10,42%","0,00%",95,1.540.230.000,0,61,"3.690,03",47956,"13,00%","1,44%"
BBRC11,Outros,9950,"13,08%","12,97%",95,158.205.000,74.776,21,"9.192,26","1.456,97","15,85%","12,53%"
BBVJ11,Lajes Corporativas,6299,"2,23%","0,00%",86,197.789.000,0,1,"10.225,30",57089,"5,58%","43,70%"
BCFF11,Títulos e Val. Mob.,735,"8,06%","5,72%",84,1.480.960.000,0,0,000,000,"0,00%","0,00%"
BCIA11,Títulos e Val. Mob.,8410,"13,02%","12,13%",85,312.771.000,464.379,0,000,000,"0,00%","0,00%"
BCRI11,Títulos e Val. Mob.,6730,"13,17%","14,02%",78,421.155.000,388.725,0,000,000,"0,00%","0,00%"
BGRB11,Lajes Corporativas,10050,"3,25%","2,89%",108,165.888.000,94.309,1,"42.330,70","1.051,14","2,48%","0,00%"
BICE11,Títulos e Val. Mob.,90000,"7,61%","8,09%",86,120.073.000,21.164,0,000,000,"0,00%","0,00%"
BICR11,Títulos e Val. Mob.,3592,"14,26%","6,42%",86,17.960.000,0,0,000,000,"0,00%","0,00%"
BIME11,Híbrido,699,"13,85%","14,83%",83,40.860.800,67.061,1,28669,000,"0,00%","0,00%"
BIPD11,Títulos e Val. Mob.,98817,"-2,39%","0,00%",100,109.133.000,0,2,"7.552,21",000,"0,00%","0,00%"
BLCA11,Lajes Corporativas,8900,"7,27%","6,76%",68,142.400.000,510.540,1,"32.743,60","2.879,92","8,80%","0,00%"
BLCP11,Logística,9100,"5,41%","0,00%",81,208.962.000,0,2,"3.014,16",19989,"6,63%","0,00%"
BLMC11,Títulos e Val. Mob.,8575,"11,10%","0,00%",91,34.257.100,0,0,000,000,"0,00%","0,00%"
BLMG11,Outros,3801,"12,58%","10,68%",54,162.257.000,995.340,2,11688,4071,"34,83%","58,43%"
BLMO11,Lajes Corporativas,8000,"6,84%","7,07%",76,79.585.100,16.454,1,"9.536,32",85776,"8,99%","0,00%"
BLMR11,Títulos e Val. Mob.,678,"10,17%","0,00%",84,173.172.000,0,0,000,000,"0,00%","0,00%"
BLOG11,Títulos e Val. Mob.,1091,"2,47%","3,28%",97,335.992.000,299,6,"2.648,41",11280,"4,26%","10,19%"
BLUR11,Títulos e Val. Mob.,7603,"10,06%","9,53%",99,6.842.700,2.155,0,000,000,"0,00%","0,00%"
BMLC11,Híbrido,9715,"8,77%","8,70%",92,96.995.000,48.741,1,"16.083,50","1.453,45","9,04%","2,14%"
BNFS11,Outros,7032,"21,38%","19,76%",90,49.224.000,138.905,18,"4.512,81","1.137,31","25,20%","0,44%"
BPFF11,Outros,5970,"17,39%","12,33%",84,268.192.000,256.070,0,000,000,"0,00%","0,00%"
BPML11,Híbrido,8060,"12,23%","15,71%",62,599.805.000,916.978,4,"4.492,09",72050,"16,04%","7,37%"
BPRP11,Outros,10750,"10,56%","3,41%",86,145.107.000,0,1,"6.230,68",69207,"11,11%","0,00%"
BRCO11,Logística,10801,"7,62%","9,58%",91,1.717.910.000,3.423.580,12,"3.386,23",30612,"9,04%","4,41%"
BRCR11,Híbrido,4250,"11,54%","13,35%",49,1.132.120.000,1.380.500,6,"10.207,60","1.541,49","15,10%","1,17%"
BREV11,Híbrido,10500,"6,59%","0,00%",0,101.556.000,0,13,000,"1.437,55","0,00%","0,00%"
BRIM11,Residencial,55500,"-2,19%","23,08%",122,68.896.000,24.001,1,"135.363,00",000,"0,00%","0,00%"
BRIP11,Híbrido,89899,"-3,80%","32,36%",125,193.710.000,38.313,0,000,000,"0,00%","0,00%"
BRLA11,Outros,14800,"7,73%","5,33%",89,724.795.000,0,10,"1.083,60",8630,"7,96%","0,00%"
BROF11,Híbrido,5180,"11,27%","11,69%",47,601.440.000,766.788,2,"6.456,67","1.004,25","15,55%","5,24%"
BTAL11,Outros,7999,"19,78%","12,52%",72,478.559.000,526.347,9,"1.378,56",17963,"13,03%","0,00%"
BTCI11,Títulos e Val. Mob.,892,"12,36%","12,39%",88,887.729.000,1.605.380,0,000,000,"0,00%","0,00%"
BTCR11,Títulos e Val. Mob.,8800,"12,48%","0,00%",92,423.289.000,0,0,000,000,"0,00%","0,00%"
BTHF11,Híbrido,856,"7,19%","7,61%",84,1.762.050.000,4.021.410,0,000,000,"0,00%","0,00%"
BTHI11,Hotel,4091,"9,97%","10,36%",59,377.129.000,31.812,14,"6.591,56",75620,"11,47%","0,00%"
BTLG11,Híbrido,10092,"8,62%","9,23%",97,4.364.700.000,6.794.500,27,"3.374,60",21559,"6,39%","3,39%"
BTML11,Híbrido,11128,"9,10%","10,03%",97,126.321.000,0,2,"22.431,30","2.129,42","9,49%","9,70%"
BTRA11,Outros,5500,"5,96%","7,04%",49,185.051.000,204.782,6,126,014,"11,36%","24,97%"
BTSG11,Logística,15905,"8,83%","7,33%",105,123.266.000,0,1,"6.535,62",62713,"9,60%","0,00%"
BTSI11,Híbrido,11160,"5,02%","8,10%",95,606.590.000,1.206,6,"1.249,11",8105,"6,49%","0,00%"
BTWR11,Lajes Corporativas,10322,"7,07%","6,98%",90,83.532.800,5,1,"4.169,38",44413,"10,65%","8,00%"
BTYU11,Híbrido,1025,"13,25%","14,67%",99,307.500.000,2.561,1,000,000,"0,00%","0,00%"
BVAR11,Outros,"1.392,80","3,48%","6,00%",175,871.252.000,33,46,"8.775,25",33877,"3,86%","22,21%"
CACR11,Híbrido,9812,"14,85%","16,16%",102,474.540.000,1.137.120,0,000,000,"0,00%","0,00%"
CARE11,Híbrido,119,"-9,44%","0,00%",17,42.566.200,41.436,1,000,000,"0,00%","0,00%"
CBOP11,Lajes Corporativas,2685,"2,62%","3,86%",40,37.992.800,69.364,1,"2.323,42",31370,"13,50%","41,60%"
CCME11,,883,"10,50%","10,91%",85,598.648.000,186.658,2,"4.968,96",46245,"9,31%","36,74%"
CCRF11,Títulos e Val. Mob.,9250,"7,16%","0,00%",95,145.401.000,0,0,000,000,"0,00%","0,00%"
CCVA11,Híbrido,10007,"6,23%","4,47%",102,61.793.200,0,1,"2.101.680,00","163.719,17","7,79%","2,60%"
CEOC11,Lajes Corporativas,4113,"12,97%","13,04%",56,74.679.600,27.786,1,"4.735,79",73592,"15,54%","0,00%"
CFHI11,Outros,62620,"2,55%","6,67%",123,59.238.500,0,8,"5.307,99",000,"0,00%","0,00%"
CFII11,Híbrido,86366,"4,74%","21,34%",72,109.097.000,21,8,"13.319,30",61438,"4,61%","0,00%"
CJCT11,Lajes Corporativas,5800,"2,44%","2,97%",79,182.120.000,97.012,1,"9.449,67",57580,"6,09%","36,40%"
CLIN11,Títulos e Val. Mob.,8950,"12,43%","13,51%",92,389.035.000,1.169.020,0,000,000,"0,00%","0,00%"
CNES11,Lajes Corporativas,099,"8,93%","8,63%",13,33.793.500,42.131,1,10472,3593,"34,31%","59,40%"
COPP11,Híbrido,10300,"4,99%","0,00%",94,290.462.000,0,3,542,025,"4,63%","18,00%"
CORM11,Híbrido,8100,"4,57%","0,00%",85,87.581.800,0,3,"7.193,96",75512,"10,50%","0,00%"
CPFF11,Títulos e Val. Mob.,6990,"18,07%","6,91%",95,75.470.800,0,0,000,000,"0,00%","0,00%"
CPLG11,Logística,1170,"0,30%","6,52%",120,416.258.000,3.506.020,1,53517,289,"0,54%","0,00%"
CPOF11,Híbrido,10851,"3,65%","8,13%",98,481.684.000,3.369.970,7,388,028,"7,09%","99,97%"
CPSH11,Shoppings,970,"5,82%","12,34%",82,773.088.000,2.427.640,7,"1.025,10",7649,"7,46%","0,00%"
CPTR11,Títulos e Val. Mob.,714,"17,98%","11,84%",73,295.454.000,1.021.710,0,000,000,"0,00%","0,00%"
CPTS11,Títulos e Val. Mob.,724,"8,61%","12,73%",82,2.301.080.000,8.170.610,0,000,000,"0,00%","0,00%"
CPUR11,Híbrido,1035,"7,08%","9,90%",105,645.541.000,11.714.100,11,"7.152,34",41336,"5,78%","0,51%"
CRAA11,Títulos e Val. Mob.,9361,"8,62%","13,60%",92,221.840.000,701.076,0,000,000,"0,00%","0,00%"
CRFF11,Títulos e Val. Mob.,7279,"10,23%","10,01%",89,50.228.000,155.195,0,000,000,"0,00%","0,00%"
CTXT11,Lajes Corporativas,567,"-23,04%","0,00%",23,22.234.500,2.187,1,48495,171,"0,35%","100,00%"
CVBI11,Títulos e Val. Mob.,8200,"14,03%","13,96%",89,902.839.000,1.993.660,0,000,000,"0,00%","0,00%"
CXAG11,Outros,7250,"12,19%","12,41%",63,151.570.000,126.976,32,"2.629,45",35657,"13,56%","0,00%"
CXCE11,Lajes Corporativas,3909,"13,87%","13,15%",62,66.959.200,15.680,1,"3.153,75",48251,"15,30%","0,00%"
CXCI11,Títulos e Val. Mob.,6782,"13,75%","13,15%",80,139.555.000,85.343,0,000,000,"0,00%","0,00%"
CXCO11,Lajes Corporativas,5701,"14,49%","13,53%",59,223.736.000,108.981,10,"2.401,91",40826,"17,00%","0,00%"
CXRI11,Títulos e Val. Mob.,6437,"11,08%","10,90%",79,101.432.000,11.680,0,000,000,"0,00%","0,00%"
CXTL11,Logística,22213,"11,42%","10,91%",53,11.905.500,4.586,1,"1.671,51",34964,"20,92%","0,00%"
DAMA11,Títulos e Val. Mob.,720,"11,05%","13,64%",85,39.866.600,131.374,0,000,000,"0,00%","0,00%"
DAMT11,Shoppings,1300,"0,83%","0,00%",90,231.137.000,212,2,"2.079.580,00","241.259,85","11,60%","9,48%"
DCRA11,,743,"19,07%","15,92%",77,50.070.100,78.707,0,000,000,"0,00%","0,00%"
DEVA11,Títulos e Val. Mob.,3185,"16,72%","16,31%",33,447.330.000,558.897,0,000,000,"0,00%","0,00%"
DMAC11,Residencial,1300,"-758,50%","0,00%",261,2.029.400,0,0,000,000,"0,00%","0,00%"
DOMC11,Híbrido,43900,"0,78%","0,00%",413,1.072.830.000,0,2,"25.593,60",36483,"1,43%","13,30%"
DOVL11,Lajes Corporativas,65035,"13,17%","13,42%",98,43.187.100,15,2,"2.445,81",57492,"23,51%","36,00%"
DPRO11,,640,"10,63%","10,33%",70,32.020.600,1.022,1,"1.947,38",25045,"12,86%","0,00%"
DRIT11,Lajes Corporativas,868,"69,70%","11,02%",6,4.021.240,770,5,40014,47483,"118,67%","0,00%"
DVFF11,,636,"9,93%","12,75%",77,70.020.400,12.451,0,000,000,"0,00%","0,00%"
EDFO11,Lajes Corporativas,11699,"15,84%","14,05%",55,27.609.600,8.845,1,"77.270,50","14.616,69","18,92%","100,05%"
EDGA11,Lajes Corporativas,1622,"2,73%","5,70%",35,61.831.500,8.573,1,"2.462,42",27558,"11,19%","23,55%"
EGAF11,Títulos e Val. Mob.,9162,"13,82%","15,79%",93,286.946.000,761.649,0,000,000,"0,00%","0,00%"
ELDO11B,Shoppings,"1.104,31","10,62%","3,37%",66,869.375.000,0,1,"11.458,60","1.428,75","12,47%","0,36%"
EQIN11,Títulos e Val. Mob.,729,"14,82%","10,96%",81,122.098.000,0,0,000,000,"0,00%","0,00%"
EQIR11,Títulos e Val. Mob.,785,"12,68%","14,59%",82,85.638.100,178.513,0,000,000,"0,00%","0,00%"
ERCR11,Híbrido,"76.000,00","0,01%","0,00%",364,180.576.000,0,0,000,000,"0,00%","0,00%"
ERPA11,Lajes Corporativas,12900,"5,67%","7,95%",81,64.618.900,95.546,1,"19.108,10","1.255,52","6,57%","0,00%"
EURO11,Logística,22200,"10,71%","10,21%",67,85.233.800,28.816,7,71865,8504,"11,83%","0,00%"
EVBI11,Híbrido,950,"4,93%","5,59%",97,546.231.000,0,11,"6.565,94",34308,"5,23%","0,49%"
EXES11,Títulos e Val. Mob.,945,"12,59%","14,36%",97,67.146.400,11.423,0,000,000,"0,00%","0,00%"
FAED11,Outros,14299,"13,39%","13,36%",64,99.003.000,65.879,4,"2.143,08",30578,"14,27%","0,00%"
FAMB11,Lajes Corporativas,74115,"170,11%","51,75%",40,90.819.000,46.586,1,"1.502,86",5962,"3,97%","98,02%"
FATN11,Híbrido,7600,"9,97%","11,73%",77,333.890.000,1.029.020,56,"21.746,50","2.055,68","9,45%","4,54%"
FCFL11,Outros,12886,"8,07%","7,93%",105,447.661.000,390.400,1,"14.356,70","1.206,77","8,41%","0,00%"
FEXC11,Títulos e Val. Mob.,8350,"1,31%","0,00%",844,8.310.020.000,0,0,000,000,"0,00%","0,00%"
FFCI11,Lajes Corporativas,18203,"3,63%","0,00%",90,671.817.000,0,9,"17.089,90","1.216,83","7,12%","6,49%"
FGAA11,Híbrido,856,"14,40%","18,45%",90,385.897.000,1.035.340,0,000,000,"0,00%","0,00%"
FIGS11,Shoppings,4455,"11,96%","11,65%",59,126.968.000,141.402,2,"1.960,58",24736,"12,62%","7,01%"
FIIB11,Híbrido,50495,"8,79%","9,60%",106,345.891.000,158.470,11,62512,6151,"9,84%","0,00%"
FIIP11,Híbrido,15433,"11,47%","10,89%",78,143.089.000,250.222,7,"2.047,66",26612,"13,00%","0,00%"
FISC11,Lajes Corporativas,6700,"7,80%","8,56%",59,113.900.000,1.294,4,"9.039,05",90019,"9,96%","0,00%"
FISD11,Títulos e Val. Mob.,20332,"-21,06%","0,00%",341,218.079.000,0,1,000,000,"0,00%","0,00%"
FIXX11,Títulos e Val. Mob.,9944,"6,50%","0,00%",164,372.822.000,7.306,0,000,000,"0,00%","0,00%"
FLCR11,Títulos e Val. Mob.,9626,"15,07%","14,41%",101,72.372.500,50.666,0,000,000,"0,00%","0,00%"
FLFL11,Híbrido,10000,"4,46%","0,00%",72,345.426.000,0,1,"31.061,60","2.532,49","8,15%","10,00%"
FLMA11,Híbrido,13128,"9,97%","9,68%",59,181.254.000,94.264,2,"15.641,60","1.930,98","12,35%","0,00%"
