Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
TRXB11,Híbrido,131.99,7.17,15.4,1.25,450594000,3335950,13,"1.863,19",23179,12.44,0.0
TGAR11,Híbrido,87.65,11.81,14.89,0.78,2065730000,4216630,5,3865,141,3.64,0.0
TRXF11,Híbrido,100.75,10.99,12.53,0.99,2018580000,6796060,40,"2.924,63",23627,8.08,0.0
CPSH11,Shoppings,9.7,5.82,12.34,0.82,773088000,2427640,7,"1.025,10",7649,7.46,0.0
KNHF11,Híbrido,89.52,12.09,12.1,0.91,1760250000,3012960,3,"19.570,50","1.155,25",5.9,1.66
MXRF11,Híbrido,9.38,10.09,12.02,1.0,4102110000,11322700,2,"25.123,30",000,0.0,0.0
GGRC11,Logística,10.04,10.15,11.49,0.89,1232580000,3694400,26,"2.055,45",18569,9.03,0.0
XPML11,Shoppings,104.18,9.67,10.5,0.89,5909170000,11521600,15,"11.984,50","1.015,66",8.47,4.57
HSML11,Shoppings,84.47,8.2,10.38,0.78,1757700000,2041900,13,"7.201,60",81126,11.27,3.11
CPUR11,Híbrido,10.35,7.08,9.9,1.05,645541000,11714100,11,"7.152,34",41336,5.78,0.51
HGBS11,Shoppings,19.41,79.47,9.88,0.9,250647000,2457160,16,43970,41111,93.5,4.96
LVBI11,Logística,100.27,9.56,9.82,0.8,1616210000,2403150,10,"2.897,78",30489,10.52,7.93
XPLG11,Logística,98.54,8.14,9.62,0.92,3072080000,3108050,17,"2.902,92",25817,8.89,1.34
MALL11,Híbrido,100.44,14.16,9.61,0.83,1404360000,2951560,11,"4.654,39",75588,16.24,3.64
BRCO11,Logística,108.01,7.62,9.58,0.91,1717910000,3423580,12,"3.386,23",30612,9.04,4.41
HGRU11,Híbrido,124.18,8.57,9.56,0.99,2885700000,3756930,104,"4.677,24",34059,7.28,0.82
VISC11,Shoppings,102.8,9.16,9.39,0.83,2963580000,3643780,30,"2.813,03",28072,9.98,5.31
BTLG11,Híbrido,100.92,8.62,9.23,0.97,4364700000,6794500,27,"3.374,60",21559,6.39,3.39
VILG11,Logística,84.06,8.81,9.14,0.75,1260680000,1566170,15,"2.216,63",23461,10.58,3.04
JSRE11,Híbrido,62.52,9.7,9.14,0.61,1298370000,1844140,6,"11.097,80","1.137,81",10.25,2.98
ALZR11,Híbrido,10.11,8.28,9.13,0.97,1236110000,1975520,18,"4.579,87",37125,8.11,0.0
HGRE11,Lajes Corporativas,113.61,6.79,9.1,0.74,1342620000,1622620,13,"7.464,44",73752,9.88,23.67
PVBI11,Lajes Corporativas,76.06,8.96,8.75,0.72,2063510000,3568570,7,"19.586,50","1.843,03",9.41,13.29
HGLG11,Logística,157.49,7.4,8.32,0.97,5321210000,6235790,27,"3.225,90",25813,8.0,4.6
KNRI11,Híbrido,144.07,8.0,8.27,0.89,4063360000,6366230,20,"5.034,59",38327,7.61,0.11
CPOF11,Híbrido,108.51,3.65,8.13,0.98,481684000,3369970,7,388,028,7.09,99.97
BTHF11,Híbrido,8.56,7.19,7.61,0.84,1762050000,4021410,0,000,000,0.0,0.0
CPLG11,Logística,11.7,0.3,6.52,1.2,416258000,3506020,1,53517,289,0.54,0.0
MCLO11,Híbrido,10.23,2.15,4.34,1.02,1275100000,1609220,4,"1.786,94",3046,1.7,0.0
GSFI11,Shoppings,8.1,0.0,0.0,0.62,778464000,2791730,0,000,000,0.0,0.0
